Mono 1 RA,Mono 2 RA,Mono 1 PA,Mono 2 PA,SA2 Color 1 EPH,SA2 XGM,C1 DT_FS,C2 DT_FS,Mono 1 Insert,Mono 2 Insert,date
-1.0,1.5,101.764,54.25,8426.0,116.692,0.0,30.1,1.0,-7.5,2021-09-14 11:14:08
0.53,1.5,101.392,109.999,12900.0,251.364,0.0,25.0,1.0,-7.3,2021-09-25 17:40:18
0.53,1.58,101.392,111.0,12900.0,265.074,0.0,25.0,1.0,-7.3,2021-09-25 17:59:35
0.5,1.048,101.387,69.5,11510.0,466.218,0.0,21.1,1.0,-7.5,2021-11-02 12:45:58
0.5,1.268,101.387,64.522,11510.0,162.508,0.0,21.1,1.0,-7.3,2021-11-02 10:48:36
0.53,1.58,101.392,111.62,12952.0,214.725,0.0,18.0,1.0,-7.5,2021-09-26 20:54:13
-1.0,1.5,101.764,79.521,6980.0,23.107,0.0,30.1,1.0,-7.5,2021-09-14 12:38:54
0.5,1.268,101.387,63.729,11510.0,253.346,0.0,21.1,1.0,-7.3,2021-11-02 10:50:24
0.8,1.28,94.6,73.381,5945.0,50.093,33.0,0.0,-8.2,1.0,2022-03-01 23:10:35
0.84,1.28,95.009,73.381,5945.0,6.634,16.0,0.0,-8.2,1.0,2022-03-01 17:33:19
0.53,1.58,101.392,112.51,12770.0,271.855,0.0,19.1,1.0,-7.5,2021-10-06 03:25:49
-1.0,1.5,101.764,54.35,8406.0,62.816,0.0,30.1,1.0,-7.5,2021-09-14 11:04:42
-1.0,1.5,101.764,54.35,8416.0,84.294,0.0,30.1,1.0,-7.5,2021-09-14 11:06:53
0.8,1.28,94.7,50.54,8900.0,16.277,0.0,46.0,1.0,-7.5,2022-03-28 11:12:35
0.53,1.58,101.392,45.0,12623.0,33.28,0.0,19.1,1.0,-7.5,2021-10-06 15:28:21
-0.3,1.28,76.0,73.381,5945.0,68.374,25.0,0.0,-8.2,1.0,2022-03-01 20:47:17
0.5,1.268,101.387,69.35,11510.0,453.873,0.0,21.1,1.0,-7.5,2021-11-02 12:36:28
-1.0,1.5,101.764,50.146,8906.0,99.457,0.0,30.1,1.0,-7.5,2021-09-09 09:38:44
0.5,1.268,101.387,63.353,11510.0,389.87,0.0,21.1,1.0,-7.3,2021-11-02 11:06:06
0.5,1.268,101.387,68.843,11510.0,541.873,0.0,21.1,1.0,-7.3,2021-11-02 09:56:39
0.53,1.58,101.392,113.451,12780.0,182.846,0.0,19.1,1.0,-7.5,2021-10-06 07:47:01
0.53,1.58,101.392,112.12,12902.0,351.246,0.0,18.0,1.0,-7.5,2021-09-26 20:58:19
0.53,1.509,101.392,45.749,12723.0,33.145,0.0,19.1,1.0,-7.5,2021-10-06 15:45:05
0.53,1.15,101.392,46.643,12723.0,44.875,0.0,19.1,1.0,-7.5,2021-10-06 15:54:29
0.8,1.28,94.7,73.381,5945.0,117.712,33.0,0.0,-8.2,1.0,2022-03-01 23:21:14
0.5,1.268,101.387,69.285,11510.0,412.361,0.0,21.1,1.0,-7.3,2021-11-02 11:19:22
0.3,1.28,69.817,73.381,5945.0,71.647,25.0,0.0,-8.2,1.0,2022-03-01 20:30:49
0.53,1.58,101.392,66.673,12900.0,97.829,0.0,21.0,1.0,-7.3,2021-09-25 22:49:43
-1.0,1.5,101.764,50.186,8906.0,97.839,0.0,28.1,1.0,-7.5,2021-09-09 06:32:57
0.53,1.1,101.392,46.455,12723.0,44.731,0.0,19.1,1.0,-7.5,2021-10-06 15:51:52
0.5,1.268,101.387,69.402,11510.0,422.141,0.0,21.1,1.0,-7.3,2021-11-02 10:00:04
0.5,1.268,101.387,74.025,18000.0,47.617,0.0,25.0,1.0,-7.5,2021-11-09 08:21:59
0.0,1.28,39.0,73.381,5945.0,64.829,25.0,0.0,-8.2,1.0,2022-03-01 21:00:33
0.53,1.56,101.392,112.45,12780.0,380.773,0.0,19.1,1.0,-7.5,2021-10-06 07:58:00
0.5,1.268,101.387,62.545,11510.0,253.384,0.0,21.1,1.0,-7.3,2021-11-02 10:53:45
0.0,1.5,101.2,101.102,7375.0,22.88,21.0,21.3,-8.2,-7.5,2021-09-17 02:42:40
